Date,Patient Residence,geolocation,State,Naloxone Prescription Count,"Naloxone Rate per 1,000 Residents",Opiate Agonist Prescription Count,"Opiate Agonist Rate per 1,000 Residents",Opiate Partial Agonist Prescription Count,"Opiate Partial Agonist Rate per 1,000 Residents",Benzodiazepine Prescription Count,"Benzodiazepine Rate per 1,000 Residents",Stimulant Prescription Count,"Stimulant Rate per 1,000 Residents",Gabapentin Prescription Count,"Gabapentin Rate per 1,000 Residents"
2023 Quarter 4,Rocky Hill,POINT (-72.63901 41.66857),CT,18,0.87,1577,76.14,291,14.05,1974,95.31,1487,71.79,1002,48.38
2024 Quarter 2,Lyme,POINT (-72.33474 41.42464),CT,0,0,121,50.4,14,5.83,136,56.64,116,48.31,85,35.4
2022 Quarter 4,Hebron,POINT (-72.35799 41.66031),CT,11,1.21,788,86.92,180,19.85,868,95.74,806,88.9,806,88.9
2022 Quarter 2,Bolton,POINT (-72.44233 41.79117),CT,12,2.47,470,96.55,42,8.63,407,83.61,330,67.79,252,51.77
2023 Quarter 1,Branford,POINT (-72.81344 41.28321),CT,50,1.77,2978,105.69,643,22.82,4601,163.3,2999,106.44,2051,72.79
2022 Quarter 2,Simsbury,POINT (-72.79998 41.8805),CT,7,0.29,1505,61.39,164,6.69,2081,84.88,2343,95.57,1074,43.81
2022 Quarter 1,Brookfield,POINT (-73.39836 41.46765),CT,12,0.69,1472,84.03,152,8.68,1607,91.74,1755,100.19,682,38.93
2022 Quarter 3,Orange,POINT (-73.00012 41.26807),CT,15,1.05,1437,100.87,166,11.65,1746,122.56,1053,73.92,584,40.99
2024 Quarter 1,Canton,POINT (-72.89936 41.82742),CT,9,0.89,722,71.55,102,10.11,857,84.93,906,89.78,519,51.43
2022 Quarter 1,Washington,POINT (-73.31101 41.63097),CT,1,0.27,289,79.31,5,1.37,219,60.1,212,58.18,98,26.89
2024 Quarter 2,Plymouth,POINT (-73.05273 41.67196),CT,18,1.54,1473,125.78,325,27.75,1271,108.53,1090,93.07,810,69.17
2022 Quarter 3,Durham,POINT (-72.68039 41.47169),CT,6,0.83,547,75.65,141,19.5,683,94.45,535,73.99,324,44.81
2023 Quarter 1,Griswold,POINT (-71.93757 41.58487),CT,29,2.54,1579,138.42,563,49.36,1448,126.94,1476,129.39,1019,89.33
2022 Quarter 4,New Milford,POINT (-73.41375 41.57871),CT,20,0.71,2819,100.03,356,12.63,2229,79.09,2618,92.9,2618,92.9
2022 Quarter 4,Mansfield,POINT (-72.24121 41.80102),CT,19,0.72,1023,38.81,183,6.94,1151,43.67,1087,41.24,1087,41.24
2023 Quarter 3,Thompson,POINT (-71.86424 41.95972),CT,12,1.29,625,67.1,133,14.28,628,67.42,725,77.83,580,62.27
2023 Quarter 1,Trumbull,POINT (-73.21967 41.23495),CT,22,0.6,2863,77.48,296,8.01,3459,93.61,3090,83.63,1504,40.7
2022 Quarter 4,Granby,POINT (-72.78526 41.95258),CT,4,0.37,890,81.26,85,7.76,952,86.92,929,84.82,929,84.82
2023 Quarter 2,Guilford,POINT (-72.68142 41.28424),CT,27,1.23,2034,92.32,291,13.21,2663,120.88,2408,109.3,1173,53.24
2023 Quarter 2,Southbury,POINT (-73.22107 41.47965),CT,11,0.56,1862,94.06,111,5.61,1915,96.74,1579,79.76,1033,52.18
2022 Quarter 2,Bethany,POINT (-73.00346 41.42245),CT,9,1.7,479,90.48,91,17.19,491,92.75,543,102.57,283,53.46
2024 Quarter 3,Trumbull,POINT (-73.21967 41.23495),CT,24,0.64,2770,74.32,343,9.2,3428,91.98,3499,93.88,1756,47.12
2022 Quarter 3,Montville,POINT (-72.13662 41.45396),CT,27,1.46,2020,109.32,628,33.99,1827,98.87,1930,104.45,1198,64.83
2023 Quarter 2,Windham,POINT (-72.15472 41.69996),CT,139,5.71,2882,118.3,860,35.3,2052,84.23,1709,70.15,2041,83.78
2023 Quarter 1,Brooklyn,POINT (-71.94964 41.78716),CT,6,0.71,828,97.55,167,19.67,754,88.83,768,90.48,622,73.28
2022 Quarter 2,Canton,POINT (-72.89936 41.82742),CT,2,0.2,830,81.98,75,7.41,881,87.01,855,84.44,490,48.4
2024 Quarter 4,Griswold,POINT (-71.93757 41.58487),CT,13,1.12,1563,134.46,483,41.55,1433,123.28,1659,142.72,1104,94.98
2022 Quarter 3,Hartland,POINT (-72.90676 41.99858),CT,0,0,123,65.04,26,13.75,115,60.81,135,71.39,92,48.65
2025 Quarter 1,Canaan,POINT (-73.301162 41.965661),CT,0,0,72,66.54,14,12.94,85,78.56,72,66.54,75,69.32
2023 Quarter 1,Greenwich,POINT (-73.63981 41.06425),CT,39,0.61,2888,45.47,332,5.23,5314,83.67,6600,103.91,1938,30.51
2024 Quarter 4,Chester,POINT (-72.44903 41.4023),CT,4,1.06,493,131.08,54,14.36,456,121.24,375,99.71,264,70.19
2022 Quarter 1,Canton,POINT (-72.89936 41.82742),CT,4,0.4,774,76.44,72,7.11,861,85.04,793,78.32,480,47.41
2024 Quarter 2,New Milford,POINT (-73.41375 41.57871),CT,11,0.39,2730,96.55,384,13.58,2169,76.71,2521,89.16,1289,45.59
2024 Quarter 3,New Milford,POINT (-73.41375 41.57871),CT,22,0.78,2675,94.6,412,14.57,2145,75.86,2675,94.6,1450,51.28
2024 Quarter 1,Durham,POINT (-72.68039 41.47169),CT,6,0.83,510,70.76,164,22.76,645,89.5,632,87.69,357,49.54
2022 Quarter 1,East Windsor,POINT (-72.61661 41.92948),CT,18,1.61,1716,153.67,326,29.19,2255,201.93,2037,182.41,1056,94.56
2023 Quarter 1,Woodbury,POINT (-73.20877 41.54365),CT,22,2.25,900,92.2,93,9.53,962,98.56,775,79.4,391,40.06
2023 Quarter 3,Pomfret,POINT (-71.95854 41.89781),CT,1,0.23,221,51.31,41,9.52,310,71.98,401,93.1,265,61.53
2025 Quarter 1,Wilton,POINT (-73.42747 41.19085),CT,7,0.38,862,46.85,71,3.86,1405,76.36,2264,123.04,709,38.53
2023 Quarter 1,Newtown,POINT (-73.3087 41.41327),CT,31,1.13,2151,78.16,268,9.74,2419,87.89,2747,99.81,1230,44.69
2024 Quarter 2,North Canaan,POINT (-73.33104 42.02767),CT,1,0.31,378,117.79,103,32.1,292,90.99,220,68.56,220,68.56
2022 Quarter 2,Ridgefield,POINT (-73.49866 41.2845),CT,11,0.44,1254,50.14,80,3.2,1968,78.69,2559,102.32,833,33.31
2024 Quarter 3,Hampton,POINT (-72.05504 41.78333),CT,3,1.72,223,128.16,33,18.97,251,144.25,201,115.52,142,81.61
2024 Quarter 2,Southington,POINT (-72.87813 41.60022),CT,36,0.82,3914,89.46,895,20.46,4572,104.5,3900,89.14,2573,58.81
2024 Quarter 4,Lebanon,POINT (-72.20098 41.64541),CT,52,7.32,807,113.53,297,41.78,627,88.21,684,96.23,567,79.77
2024 Quarter 4,Westport,POINT (-73.35935 41.14149),CT,3,0.11,1441,52.46,114,4.15,2638,96.03,898,32.69,1048,38.15
2024 Quarter 1,Derby,POINT (-73.08964 41.32349),CT,34,2.75,1631,131.98,325,26.3,1175,95.08,1031,83.43,685,55.43
2023 Quarter 1,Kent,POINT (-73.47267 41.7267),CT,1,0.34,246,82.44,13,4.36,268,89.81,223,74.73,77,25.8
2023 Quarter 2,Cornwall,POINT (-73.32991 41.84339),CT,0,0,103,65.56,14,8.91,144,91.66,122,77.66,72,45.83
2023 Quarter 1,Waterbury,POINT (-73.04647 41.5549),CT,242,2.13,12151,106.76,2230,19.59,8405,73.85,5277,46.37,7163,62.94
2022 Quarter 4,Lebanon,POINT (-72.20098 41.64541),CT,58,8.16,911,128.17,258,36.3,694,97.64,597,83.99,597,83.99
2023 Quarter 1,Deep River,POINT (-72.43506 41.3833),CT,7,1.57,430,96.37,79,17.71,583,130.66,522,116.99,324,72.61
2022 Quarter 4,Lisbon,POINT (-72.01016 41.60741),CT,5,1.19,376,89.57,123,29.3,430,102.43,316,75.27,316,75.27
2022 Quarter 2,Scotland,POINT (-72.08296 41.69848),CT,1,0.63,69,43.78,13,8.25,59,37.44,45,28.55,39,24.75
2024 Quarter 2,Bridgeport,POINT (-73.19064 41.18213),CT,431,2.9,11989,80.8,1432,9.65,7140,48.12,4477,30.17,6455,43.5
2023 Quarter 2,Preston,POINT (-71.98967 41.52951),CT,7,1.46,493,102.67,106,22.07,536,111.62,587,122.24,316,65.81
2024 Quarter 1,Farmington,POINT (-72.83774 41.71291),CT,14,0.52,1843,68.95,231,8.64,2029,75.91,2120,79.32,1138,42.58
2022 Quarter 1,Guilford,POINT (-72.68142 41.28424),CT,23,1.04,1759,79.79,368,16.69,2686,121.84,2312,104.88,1024,46.45
2022 Quarter 1,Rocky Hill,POINT (-72.63901 41.66857),CT,9,0.43,1644,79.11,294,14.15,2108,101.44,1336,64.29,970,46.68
2024 Quarter 3,Old Saybrook,POINT (-72.37706 41.29725),CT,10,0.95,981,92.8,200,18.92,1317,124.59,1216,115.03,651,61.58
2024 Quarter 3,Bolton,POINT (-72.44233 41.79117),CT,8,1.65,471,97.43,107,22.13,461,95.37,406,83.99,274,56.68
2024 Quarter 4,Orange,POINT (-73.00012 41.26807),CT,14,0.98,1349,94.19,180,12.57,1717,119.89,1210,84.49,720,50.27
2024 Quarter 1,Woodstock,POINT (-71.98144 41.95623),CT,7,0.84,534,64.24,81,9.74,486,58.47,646,77.72,354,42.59
2023 Quarter 3,Plymouth,POINT (-73.05273 41.67196),CT,22,1.88,1444,123.3,312,26.64,1327,113.31,1010,86.24,806,68.82
2022 Quarter 2,Portland,POINT (-72.63703 41.57771),CT,40,4.27,916,97.75,330,35.22,1083,115.57,881,94.01,566,60.4
2022 Quarter 2,Deep River,POINT (-72.43506 41.3833),CT,5,1.13,487,110.38,131,29.69,600,135.99,507,114.91,241,54.62
2023 Quarter 4,Litchfield,POINT (-73.18895 41.74626),CT,6,0.72,796,96.15,106,12.8,936,113.06,748,90.35,496,59.91
2023 Quarter 4,East Lyme,POINT (-72.22334 41.36844),CT,18,0.96,1664,88.57,343,18.26,2214,117.84,2314,123.16,1151,61.26
2022 Quarter 4,East Granby,POINT (-72.7294 41.94359),CT,2,0.39,428,82.63,57,11,457,88.22,479,92.47,479,92.47
2024 Quarter 1,Stonington,POINT (-71.90642 41.33592),CT,26,1.41,2035,110.12,349,18.89,2611,141.29,2884,156.06,1392,75.32
2022 Quarter 2,New Fairfield,POINT (-73.48605 41.46578),CT,8,0.59,1237,91.16,100,7.37,1118,82.39,1289,94.99,607,44.73
2025 Quarter 1,Orange,POINT (-73.00012 41.26807),CT,16,1.12,1326,92.58,166,11.59,1695,118.35,1207,84.28,698,48.74
2022 Quarter 1,Colchester,POINT (-72.32694 41.5749),CT,20,1.29,2069,133.07,422,27.14,1970,126.7,1692,108.82,976,62.77
2022 Quarter 3,Madison,POINT (-72.59507 41.27973),CT,16,0.91,1193,67.71,243,13.79,2009,114.02,2147,121.86,796,45.18
2022 Quarter 4,Stamford,POINT (-73.54222 41.05195),CT,60,0.44,6455,47.36,719,5.27,8626,63.28,8102,59.44,8102,59.44
2024 Quarter 1,Manchester,POINT (-72.52069 41.769),CT,71,1.19,4809,80.88,1115,18.75,4836,81.33,4321,72.67,3468,58.32
2025 Quarter 1,Stafford,POINT (-72.28626 41.98679),CT,9,0.78,1414,122.24,251,21.7,1087,93.97,1174,101.5,918,79.36
2022 Quarter 1,Ledyard,POINT (-72.01819 41.44541),CT,24,1.56,1377,89.3,264,17.12,1364,88.46,1593,103.31,752,48.77
2022 Quarter 3,Glastonbury,POINT (-72.60499 41.71227),CT,16,0.46,2158,61.56,298,8.5,3090,88.15,2915,83.16,1440,41.08
2023 Quarter 3,Shelton,POINT (-73.1091 41.3226),CT,49,1.17,4089,97.6,599,14.3,3873,92.44,3292,78.57,2120,50.6
2024 Quarter 1,Waterford,POINT (-72.13852 41.34593),CT,24,1.22,2217,113.09,342,17.45,2643,134.83,2499,127.48,1364,69.58
2022 Quarter 1,Bozrah,POINT (-72.15061 41.56752),CT,7,2.89,360,148.64,85,35.09,314,129.64,273,112.72,234,96.61
2025 Quarter 1,Wolcott,POINT (-72.98422 41.57883),CT,15,0.92,1699,104.18,323,19.81,1796,110.12,1480,90.75,891,54.63
2024 Quarter 3,Newtown,POINT (-73.3087 41.41327),CT,19,0.69,2092,75.6,374,13.51,2318,83.76,3126,112.96,1476,53.34
2024 Quarter 2,Warren,POINT (-73.34873 41.74408),CT,1,0.74,110,81.36,10,7.4,118,87.28,111,82.1,52,38.46
2022 Quarter 3,Oxford,POINT (-73.12356 41.43916),CT,12,0.94,1433,112.23,172,13.47,1185,92.81,1084,84.9,593,46.44
2023 Quarter 2,New Hartford,POINT (-72.98018 41.87938),CT,10,1.5,664,99.58,124,18.6,721,108.13,620,92.98,408,61.19
2022 Quarter 3,East Windsor,POINT (-72.61661 41.92948),CT,9,0.81,640,57.34,84,7.53,577,51.7,245,21.95,279,25
2022 Quarter 1,Goshen,POINT (-73.23131 41.83122),CT,0,0,274,87.04,47,14.93,293,93.07,230,73.06,145,46.06
2022 Quarter 4,Harwinton,POINT (-73.06991 41.76965),CT,4,0.73,618,112.2,77,13.98,556,100.94,404,73.35,404,73.35
2025 Quarter 1,Ansonia,POINT (-73.07875 41.34319),CT,55,2.89,2237,117.69,519,27.3,1493,78.55,1498,78.81,1144,60.19
2024 Quarter 3,Brookfield,POINT (-73.39836 41.46765),CT,7,0.4,1341,76.68,141,8.06,1440,82.34,1871,106.98,765,43.74
2022 Quarter 2,Union,POINT (-72.15536 41.99378),CT,0,0,53,67.6,0,0,22,28.06,35,44.64,34,43.37
2023 Quarter 4,New Britain,POINT (-72.78215 41.66772),CT,168,2.26,7169,96.36,2037,27.38,5421,72.87,3682,49.49,4347,58.43
2024 Quarter 1,Burlington,POINT (-72.96183 41.76759),CT,8,0.82,703,72.4,106,10.92,801,82.49,855,88.05,426,43.87
2023 Quarter 4,South Windsor,POINT (-72.56027 41.82628),CT,15,0.56,1851,69.11,269,10.04,2165,80.83,1895,70.75,1408,52.57
2022 Quarter 4,Old Lyme,POINT (-72.33425 41.32392),CT,5,0.66,737,97.27,109,14.39,966,127.49,902,119.04,902,119.04
2023 Quarter 1,Pomfret,POINT (-71.95854 41.89781),CT,2,0.47,280,65.56,39,9.13,315,73.75,439,102.79,247,57.83
2022 Quarter 1,Union,POINT (-72.15536 41.99378),CT,0,0,59,75.26,0,0,20,25.51,25,31.89,28,35.71
2023 Quarter 1,Durham,POINT (-72.68039 41.47169),CT,9,1.24,497,68.73,152,21.02,676,93.49,572,79.1,316,43.7
2024 Quarter 4,Berlin,POINT (-72.74506 41.62316),CT,23,1.13,1774,86.84,400,19.58,2033,99.52,1651,80.82,1120,54.82
2022 Quarter 3,Wilton,POINT (-73.42747 41.19085),CT,6,0.33,917,49.67,74,4.01,1330,72.05,1991,107.85,627,33.97
2024 Quarter 2,Prospect,POINT (-72.9779 41.50128),CT,7,0.74,1004,106.41,89,9.43,974,103.23,808,85.64,503,53.31
2024 Quarter 3,East Lyme,POINT (-72.22334 41.36844),CT,18,0.95,1645,86.9,415,21.92,2193,115.85,2421,127.9,1219,64.4
2023 Quarter 3,East Windsor,POINT (-72.61661 41.92948),CT,17,1.52,655,58.61,132,11.81,588,52.61,299,26.75,364,32.57
2023 Quarter 3,New London,POINT (-72.09624 41.35651),CT,116,4.15,2966,106,1497,53.5,2504,89.49,2362,84.42,2403,85.88
2023 Quarter 4,Greenwich,POINT (-73.63981 41.06425),CT,24,0.38,2660,41.8,356,5.59,5280,82.97,6942,109.09,1964,30.86
2024 Quarter 4,Suffield,POINT (-72.65914 41.98373),CT,4,0.26,1215,77.64,172,10.99,1142,72.97,1325,84.66,991,63.32
2023 Quarter 4,Washington,POINT (-73.31101 41.63097),CT,2,0.55,293,79.92,9,2.45,262,71.47,261,71.19,129,35.19
2022 Quarter 1,Essex,POINT (-72.39087 41.35324),CT,4,0.6,631,94,156,23.24,875,130.34,601,89.53,395,58.84
2022 Quarter 3,Somers,POINT (-72.44013 41.98825),CT,6,0.58,926,90.09,215,20.92,987,96.02,721,70.14,474,46.11
2025 Quarter 1,Colchester,POINT (-72.32694 41.5749),CT,26,1.68,1904,122.81,427,27.54,1745,112.55,2033,131.13,1085,69.98
2023 Quarter 3,Marlborough,POINT (-72.45984 41.63149),CT,5,0.82,713,116.71,73,11.95,618,101.16,602,98.54,390,63.84
2022 Quarter 2,Woodbridge,POINT (-73.01207 41.35443),CT,8,0.88,605,66.67,117,12.89,776,85.52,807,88.94,362,39.89
2025 Quarter 1,Suffield,POINT (-72.65914 41.98373),CT,6,0.38,1110,70.93,204,13.04,1120,71.57,1335,85.3,951,60.77
2024 Quarter 3,Madison,POINT (-72.59507 41.27973),CT,23,1.31,1166,66.64,229,13.09,1865,106.58,2247,128.41,991,56.64
2023 Quarter 3,Manchester,POINT (-72.52069 41.769),CT,68,1.14,4848,81.53,1155,19.42,4938,83.05,4087,68.73,3575,60.12
2022 Quarter 2,Kent,POINT (-73.47267 41.7267),CT,1,0.33,256,84.94,24,7.96,267,88.59,206,68.35,57,18.91
2024 Quarter 4,East Granby,POINT (-72.7294 41.94359),CT,2,0.38,411,78.77,68,13.03,408,78.19,645,123.61,244,46.76
2023 Quarter 2,Lyme,POINT (-72.33474 41.42464),CT,1,0.43,105,44.8,16,6.83,143,61.01,121,51.62,69,29.44
2023 Quarter 1,Somers,POINT (-72.44013 41.98825),CT,11,1.07,869,84.54,222,21.6,995,96.8,795,77.34,473,46.02
2022 Quarter 2,Bozrah,POINT (-72.15061 41.56752),CT,3,1.24,365,150.7,70,28.9,315,130.06,277,114.37,240,99.09
2023 Quarter 4,Madison,POINT (-72.59507 41.27973),CT,16,0.91,1228,69.91,211,12.01,1872,106.58,2232,127.07,965,54.94
2023 Quarter 1,Colebrook,POINT (-73.11155 42.0129),CT,4,2.95,142,104.64,16,11.79,110,81.06,99,72.96,107,78.85
2024 Quarter 1,Portland,POINT (-72.63703 41.57771),CT,29,3.08,979,103.83,198,21,1072,113.69,1047,111.04,528,56
2023 Quarter 2,Norwalk,POINT (-73.40765 41.11366),CT,51,0.56,5434,59.59,611,6.7,6091,66.79,5835,63.98,3650,40.02
2024 Quarter 2,Ridgefield,POINT (-73.49866 41.2845),CT,9,0.36,1552,62.06,94,3.76,2141,85.62,3039,121.53,1082,43.27
2023 Quarter 4,East Hartford,POINT (-72.64401 41.76897),CT,63,1.24,4392,86.6,877,17.29,3380,66.64,2094,41.29,2914,57.45
2025 Quarter 1,Salem,POINT (-72.27692 41.49236),CT,2,0.46,441,102.11,89,20.61,363,84.05,517,119.7,294,68.07
2024 Quarter 1,Barkhamsted,POINT (-72.98828 41.91211),CT,0,0,380,103.63,15,4.09,304,82.9,332,90.54,238,64.9
2022 Quarter 3,Bozrah,POINT (-72.15061 41.56752),CT,6,2.48,380,157.22,89,36.82,310,128.26,265,109.64,259,107.16
2024 Quarter 2,West Haven,POINT (-72.94998 41.27228),CT,125,2.27,5455,99.17,1184,21.53,4688,85.23,3224,58.61,2924,53.16
2022 Quarter 4,Danbury,POINT (-73.45359 41.39268),CT,148,1.71,5573,64.24,684,7.88,5026,57.93,5041,58.1,5041,58.1
2022 Quarter 1,Morris,POINT (-73.20025 41.68339),CT,1,0.44,223,99.11,40,17.78,279,124,106,47.11,133,59.11
2022 Quarter 1,Willington,POINT (-72.30139 41.87944),CT,6,1.08,490,88,85,15.27,458,82.26,470,84.41,260,46.7
2022 Quarter 4,Wolcott,POINT (-72.98422 41.57883),CT,22,1.36,1714,106.06,287,17.76,1913,118.38,1276,78.96,1276,78.96
2023 Quarter 1,New Britain,POINT (-72.78215 41.66772),CT,229,3.1,7338,99.38,2204,29.85,5689,77.04,3452,46.75,4769,64.58
2023 Quarter 2,Stamford,POINT (-73.54222 41.05195),CT,98,0.72,6341,46.52,758,5.56,8598,63.08,8217,60.28,4613,33.84
2022 Quarter 4,Norfolk,POINT (-73.19827 41.99194),CT,2,1.26,153,96.41,20,12.6,156,98.3,109,68.68,109,68.68
2023 Quarter 4,Bolton,POINT (-72.44233 41.79117),CT,6,1.24,513,106.12,65,13.45,438,90.61,378,78.2,285,58.96
2025 Quarter 1,Farmington,POINT (-72.83774 41.71291),CT,29,1.08,1693,63.18,281,10.49,1964,73.29,2340,87.32,1263,47.13
2022 Quarter 2,Brooklyn,POINT (-71.94964 41.78716),CT,7,0.83,835,98.8,167,19.76,789,93.36,737,87.21,563,66.62
2023 Quarter 4,Clinton,POINT (-72.52778 41.27864),CT,26,1.94,1556,116.13,466,34.78,1666,124.34,1549,115.61,913,68.14
2025 Quarter 1,New Hartford,POINT (-72.98018 41.87938),CT,5,0.75,666,99.27,111,16.54,648,96.59,715,106.57,456,67.97
2023 Quarter 2,Granby,POINT (-72.78526 41.95258),CT,3,0.27,933,85.18,75,6.85,937,85.55,843,76.97,669,61.08
2022 Quarter 3,Killingly,POINT (-71.88486 41.80419),CT,29,1.63,2257,127.21,629,35.45,2057,115.94,1621,91.37,1627,91.7
2022 Quarter 2,Avon,POINT (-72.83009 41.81094),CT,11,0.58,1210,63.96,139,7.35,1673,88.43,1649,87.17,868,45.88
2023 Quarter 1,Westbrook,POINT (-72.44255 41.28353),CT,15,2.2,710,104.26,159,23.35,909,133.48,752,110.43,493,72.39
2022 Quarter 1,Preston,POINT (-71.98967 41.52951),CT,10,2.09,472,98.66,126,26.34,511,106.81,489,102.22,282,58.95
2023 Quarter 1,Beacon Falls,POINT (-73.06031 41.44505),CT,10,1.66,746,123.65,156,25.86,570,94.48,545,90.34,373,61.83
2024 Quarter 3,Windsor,POINT (-72.64351 41.85179),CT,26,0.89,2178,74.15,329,11.2,2016,68.64,1887,64.24,1397,47.56
2024 Quarter 1,Greenwich,POINT (-73.63981 41.06425),CT,25,0.39,2635,41.41,343,5.39,5130,80.61,6851,107.66,1907,29.97
2023 Quarter 4,North Canaan,POINT (-73.33104 42.02767),CT,0,0,37,11.53,1,0.31,55,17.14,11,3.43,24,7.48
2022 Quarter 2,Fairfield,POINT (-73.22871 41.16636),CT,19,0.31,4163,67.72,330,5.37,5212,84.79,5962,96.99,2080,33.84
2025 Quarter 1,Seymour,POINT (-73.08051 41.39761),CT,25,1.47,1918,113.14,351,20.7,1420,83.76,1559,91.96,973,57.39
2025 Quarter 1,Greenwich,POINT (-73.63981 41.06425),CT,25,0.39,2422,38.1,357,5.62,5071,79.77,7365,115.85,1916,30.14
2022 Quarter 2,Old Saybrook,POINT (-72.37706 41.29725),CT,16,1.53,1077,103.14,256,24.52,1458,139.63,1152,110.32,552,52.86
2024 Quarter 4,Deep River,POINT (-72.43506 41.3833),CT,2,0.45,479,107.54,105,23.57,576,129.32,577,129.55,367,82.4
2023 Quarter 1,Plainfield,POINT (-71.91829 41.68003),CT,38,2.54,2132,142.52,554,37.03,1854,123.94,1408,94.12,1343,89.78
2023 Quarter 3,Norwich,POINT (-72.07568 41.52676),CT,123,3.07,4254,106.33,1573,39.32,4245,106.1,3898,97.43,3609,90.2
2024 Quarter 2,Glastonbury,POINT (-72.60499 41.71227),CT,10,0.28,2156,61.25,266,7.56,2987,84.86,3530,100.29,1436,40.8
2024 Quarter 3,Redding,POINT (-73.38052 41.30402),CT,0,0,488,55.97,41,4.7,704,80.74,1004,115.15,383,43.93
2023 Quarter 2,Woodbridge,POINT (-73.01207 41.35443),CT,4,0.44,520,57.49,91,10.06,768,84.91,914,101.05,389,43.01
2022 Quarter 3,Middlefield,POINT (-72.71217 41.51513),CT,6,1.4,445,104.12,95,22.23,490,114.65,387,90.55,234,54.75
2022 Quarter 1,Middlefield,POINT (-72.71217 41.51513),CT,3,0.71,439,104.1,108,25.61,495,117.38,389,92.25,216,51.22
2024 Quarter 2,Avon,POINT (-72.83009 41.81094),CT,8,0.42,949,50.29,112,5.94,1651,87.49,1849,97.98,812,43.03
2023 Quarter 3,Darien,POINT (-73.47714 41.0696),CT,2,0.09,759,34.62,60,2.74,1621,73.93,2647,120.72,578,26.36
2023 Quarter 1,Haddam,POINT (-72.50472 41.47439),CT,13,1.52,801,93.91,116,13.6,759,88.99,761,89.22,443,51.94
2023 Quarter 4,Woodbridge,POINT (-73.01207 41.35443),CT,12,1.33,533,58.89,94,10.39,763,84.3,902,99.66,353,39
2025 Quarter 1,Killingworth,POINT (-72.56592 41.35961),CT,8,1.28,553,88.42,160,25.58,672,107.45,708,113.21,367,58.68
2022 Quarter 3,East Haddam,POINT (-72.46388 41.45985),CT,7,0.78,1037,115.67,212,23.65,979,109.2,801,89.35,495,55.21
2024 Quarter 2,Killingly,POINT (-71.88486 41.80419),CT,21,1.18,1834,102.82,623,34.93,1803,101.08,1895,106.24,1523,85.38
2023 Quarter 2,Vernon,POINT (-72.44806 41.86753),CT,60,1.98,3764,124.12,780,25.72,3763,124.08,2374,78.28,2437,80.36
2023 Quarter 2,Waterford,POINT (-72.13852 41.34593),CT,16,0.82,2251,115.12,391,20,2604,133.18,2361,120.75,1475,75.44
2024 Quarter 4,Lyme,POINT (-72.33474 41.42464),CT,2,0.83,123,51.06,11,4.57,138,57.29,131,54.38,87,36.11
2024 Quarter 1,Thompson,POINT (-71.86424 41.95972),CT,9,0.97,659,70.75,152,16.32,572,61.41,734,78.8,497,53.35
2024 Quarter 2,Middletown,POINT (-72.64977 41.56268),CT,294,6.03,4932,101.21,1482,30.41,4682,96.08,4351,89.29,3472,71.25
2022 Quarter 2,Hamden,POINT (-72.90159 41.38428),CT,86,1.41,5241,85.83,788,12.9,5087,83.3,3363,55.07,2804,45.92
2024 Quarter 2,Canterbury,POINT (-71.9928 41.69798),CT,9,1.76,525,102.9,115,22.54,506,99.18,522,102.31,362,70.95
2022 Quarter 3,Cheshire,POINT (-72.89911 41.51169),CT,15,0.52,1862,65.04,383,13.38,2464,86.07,2230,77.9,1269,44.33
2022 Quarter 3,Preston,POINT (-71.98967 41.52951),CT,6,1.25,494,102.87,128,26.66,556,115.79,524,109.12,320,66.64
2022 Quarter 1,Manchester,POINT (-72.52069 41.769),CT,56,0.94,5230,87.61,1236,20.71,5435,91.05,3757,62.94,3434,57.53
2022 Quarter 4,Haddam,POINT (-72.50472 41.47439),CT,16,1.88,759,88.99,122,14.3,720,84.42,763,89.46,763,89.46
2022 Quarter 1,Bethany,POINT (-73.00346 41.42245),CT,8,1.51,444,83.87,68,12.84,461,87.08,498,94.07,238,44.96
2024 Quarter 3,Cromwell,POINT (-72.6535 41.61653),CT,14,0.97,1406,97.89,273,19.01,1720,119.75,1300,90.51,839,58.41
2023 Quarter 3,Southbury,POINT (-73.22107 41.47965),CT,17,0.85,1812,90.7,126,6.31,1908,95.5,1628,81.49,1026,51.35
2022 Quarter 2,Manchester,POINT (-72.52069 41.769),CT,49,0.82,5420,90.8,1248,20.91,5219,87.43,3880,65,3386,56.72
2025 Quarter 1,New Britain,POINT (-72.78215 41.66772),CT,115,1.55,6919,93.4,1876,25.32,5230,70.6,3975,53.66,4545,61.35
2024 Quarter 3,Middlefield,POINT (-72.71217 41.51513),CT,3,0.7,371,87.15,102,23.96,498,116.98,395,92.79,276,64.83
2023 Quarter 1,Hamden,POINT (-72.90159 41.38428),CT,84,1.38,5257,86.29,702,11.52,4862,79.81,3324,54.56,2777,45.58
2022 Quarter 2,Washington,POINT (-73.31101 41.63097),CT,2,0.55,253,69.43,4,1.1,215,59,182,49.95,93,25.52
2022 Quarter 4,Ashford,POINT (-72.189 41.86322),CT,2,0.48,454,108.46,45,10.75,398,95.08,363,86.72,363,86.72
2023 Quarter 2,Deep River,POINT (-72.43506 41.3833),CT,8,1.79,426,95.47,82,18.38,559,125.28,535,119.9,317,71.04
2022 Quarter 1,East Haddam,POINT (-72.46388 41.45985),CT,6,0.68,414,46.66,64,7.21,433,48.81,446,50.27,245,27.61
