Date,Patient Residence,geolocation,State,Naloxone Prescription Count,"Naloxone Rate per 1,000 Residents",Opiate Agonist Prescription Count,"Opiate Agonist Rate per 1,000 Residents",Opiate Partial Agonist Prescription Count,"Opiate Partial Agonist Rate per 1,000 Residents",Benzodiazepine Prescription Count,"Benzodiazepine Rate per 1,000 Residents",Stimulant Prescription Count,"Stimulant Rate per 1,000 Residents",Gabapentin Prescription Count,"Gabapentin Rate per 1,000 Residents"
2023 Quarter 1,Bethany,POINT (-73.00346 41.42245),CT,13,2.46,487,92.1,64,12.1,450,85.1,523,98.9,259,48.98
2023 Quarter 1,Goshen,POINT (-73.23131 41.83122),CT,3,0.95,214,67.61,59,18.64,274,86.57,207,65.4,145,45.81
2023 Quarter 4,Oxford,POINT (-73.12356 41.43916),CT,19,1.47,1364,105.4,181,13.99,1205,93.11,1191,92.03,664,51.31
2024 Quarter 4,Chaplin,POINT (-72.14367 41.75973),CT,3,1.39,236,109.41,75,34.77,200,92.72,233,108.02,169,78.35
2022 Quarter 2,Enfield,POINT (-72.57439 41.9984),CT,47,1.12,4246,100.79,1118,26.54,4196,99.6,3069,72.85,2569,60.98
2022 Quarter 2,Oxford,POINT (-73.12356 41.43916),CT,11,0.87,1456,114.63,209,16.45,1140,89.75,1086,85.5,627,49.36
2023 Quarter 3,Goshen,POINT (-73.23131 41.83122),CT,1,0.31,251,78.36,53,16.55,299,93.35,245,76.49,132,41.21
2024 Quarter 2,Ansonia,POINT (-73.07875 41.34319),CT,67,3.54,2382,125.88,377,19.92,1570,82.97,1512,79.9,1062,56.12
2025 Quarter 1,Darien,POINT (-73.47714 41.0696),CT,5,0.23,841,38.19,99,4.5,1618,73.48,2985,135.56,689,31.29
2024 Quarter 1,New Hartford,POINT (-72.98018 41.87938),CT,3,0.45,602,89.88,127,18.96,649,96.89,645,96.3,372,55.54
2024 Quarter 3,Rocky Hill,POINT (-72.63901 41.66857),CT,9,0.43,1426,68.86,279,13.47,1871,90.35,1603,77.41,937,45.25
2024 Quarter 2,Norfolk,POINT (-73.19827 41.99194),CT,0,0,145,90.97,39,24.47,173,108.53,127,79.67,77,48.31
2023 Quarter 2,Washington,POINT (-73.31101 41.63097),CT,2,0.55,341,93.86,16,4.4,288,79.27,262,72.12,165,45.42
2024 Quarter 1,Essex,POINT (-72.39087 41.35324),CT,3,0.44,469,69.04,125,18.4,740,108.94,615,90.53,324,47.7
2024 Quarter 1,Lebanon,POINT (-72.20098 41.64541),CT,46,6.45,792,111.05,267,37.44,661,92.68,643,90.16,518,72.63
2022 Quarter 2,Thomaston,POINT (-73.07407 41.67348),CT,4,0.54,923,124.29,182,24.51,911,122.68,577,77.7,325,43.77
2024 Quarter 2,Enfield,POINT (-72.57439 41.9984),CT,39,0.95,3875,93.95,1086,26.33,3818,92.57,3568,86.51,2722,66
2024 Quarter 4,Middlebury,POINT (-73.12099 41.5278),CT,1,0.13,556,70.06,98,12.35,666,83.92,770,97.03,317,39.94
2023 Quarter 1,Harwinton,POINT (-73.06991 41.76965),CT,5,0.91,574,104.21,87,15.8,569,103.3,443,80.43,314,57.01
2023 Quarter 3,Guilford,POINT (-72.68142 41.28424),CT,24,1.09,2007,91.15,282,12.81,2661,120.85,2337,106.14,1191,54.09
2024 Quarter 2,Chaplin,POINT (-72.14367 41.75973),CT,3,1.39,236,109.46,57,26.44,189,87.66,243,112.71,157,72.82
2024 Quarter 4,Westbrook,POINT (-72.44255 41.28353),CT,9,1.31,710,103.18,174,25.29,923,134.14,898,130.5,472,68.59
2022 Quarter 1,Beacon Falls,POINT (-73.06031 41.44505),CT,9,1.5,745,124.31,131,21.86,609,101.62,478,79.76,310,51.73
2024 Quarter 3,East Granby,POINT (-72.7294 41.94359),CT,3,0.57,410,78.57,73,13.99,403,77.23,601,115.18,240,45.99
2023 Quarter 2,Colebrook,POINT (-73.11155 42.0129),CT,4,2.95,127,93.59,15,11.05,120,88.43,93,68.53,98,72.22
2023 Quarter 4,Canton,POINT (-72.89936 41.82742),CT,10,0.99,810,80.27,92,9.12,873,86.51,947,93.85,474,46.97
2022 Quarter 3,Pomfret,POINT (-71.95854 41.89781),CT,4,0.94,298,69.77,37,8.66,335,78.44,415,97.17,255,59.7
2022 Quarter 1,Salem,POINT (-72.27692 41.49236),CT,4,0.95,470,111.53,78,18.51,396,93.97,387,91.84,235,55.77
2025 Quarter 1,Ledyard,POINT (-72.01819 41.44541),CT,10,0.65,1288,83.32,203,13.13,1327,85.84,2194,141.92,865,55.95
2022 Quarter 2,Marlborough,POINT (-72.45984 41.63149),CT,4,0.65,831,135.63,64,10.45,710,115.88,611,99.72,329,53.7
2024 Quarter 2,Lebanon,POINT (-72.20098 41.64541),CT,46,6.45,769,107.82,218,30.57,639,89.6,647,90.72,573,80.34
2025 Quarter 1,Morris,POINT (-73.20025 41.68339),CT,2,0.88,213,93.75,44,19.37,256,112.68,162,71.3,144,63.38
2023 Quarter 3,Somers,POINT (-72.44013 41.98825),CT,7,0.71,828,84.12,208,21.13,855,86.86,749,76.09,1024,104.03
2022 Quarter 3,East Hartford,POINT (-72.64401 41.76897),CT,64,1.26,4683,92.31,1006,19.83,3485,68.7,1983,39.09,2983,58.8
2023 Quarter 4,Morris,POINT (-73.20025 41.68339),CT,6,2.65,239,105.43,34,15,245,108.07,145,63.96,147,64.84
2023 Quarter 2,Danbury,POINT (-73.45359 41.39268),CT,172,1.98,6000,69.16,745,8.59,5097,58.75,5261,60.64,3266,37.64
2022 Quarter 3,Norwalk,POINT (-73.40765 41.11366),CT,40,0.44,5709,62.6,629,6.9,6227,68.28,5480,60.09,3529,38.7
2022 Quarter 4,Warren,POINT (-73.34873 41.74408),CT,1,0.74,87,64.49,4,2.97,93,68.94,98,72.65,98,72.65
2022 Quarter 4,Barkhamsted,POINT (-72.98828 41.91211),CT,6,1.65,359,98.44,29,7.95,325,89.11,267,73.21,267,73.21
2024 Quarter 4,Portland,POINT (-72.63703 41.57771),CT,26,2.76,954,101.19,280,29.7,1066,113.07,1044,110.73,687,72.87
2024 Quarter 3,Norwich,POINT (-72.07568 41.52676),CT,100,2.51,4389,110.05,1758,44.08,4152,104.11,4165,104.44,3728,93.48
2024 Quarter 2,Bozrah,POINT (-72.15061 41.56752),CT,4,1.65,360,148.76,111,45.87,311,128.51,318,131.4,286,118.18
2022 Quarter 4,Oxford,POINT (-73.12356 41.43916),CT,10,0.78,1379,108,166,13,1190,93.2,1133,88.74,1133,88.74
2024 Quarter 3,Ashford,POINT (-72.189 41.86322),CT,3,0.71,436,103.1,65,15.37,396,93.64,390,92.22,289,68.34
2022 Quarter 2,North Canaan,POINT (-73.33104 42.02767),CT,28,1.16,2567,105.91,533,21.99,3070,126.67,2230,92.01,1293,53.35
2023 Quarter 1,Ansonia,POINT (-73.07875 41.34319),CT,48,2.55,2386,126.81,425,22.59,1661,88.28,1346,71.54,1093,58.09
