report_period,town,prescription_count,rate_per_1000
2022 Quarter 2,Shelton,2996,73.51
2022 Quarter 2,Sherman,309,87.76
2022 Quarter 2,Simsbury,2343,95.57
2022 Quarter 2,Somers,738,71.97
2022 Quarter 2,South Windsor,1469,54.6
2022 Quarter 2,Southbury,3306,167.09
2022 Quarter 2,Southington,1783,41.04
2022 Quarter 2,Sprague,239,80.39
2022 Quarter 2,Stafford,775,67.63
2022 Quarter 2,Stamford,8031,59.26
2022 Quarter 2,Sterling,300,83.78
2022 Quarter 2,Stonington,2616,143.04
2022 Quarter 2,Stratford,3221,61.63
2022 Quarter 2,Suffield,1202,76.44
2022 Quarter 2,Thomaston,577,77.7
2022 Quarter 2,Thompson,651,70.88
2022 Quarter 2,Tolland,1099,75.52
2022 Quarter 2,Torrington,3045,85.96
2022 Quarter 2,Trumbull,3046,82.9
2022 Quarter 2,Union,35,44.64
2022 Quarter 2,Vernon,2114,69.96
2022 Quarter 2,Voluntown,239,93.21
2022 Quarter 2,Wallingford,3604,81.32
2022 Quarter 2,Warren,116,86.05
2022 Quarter 2,Washington,182,49.95
2022 Quarter 2,Waterbury,5079,44.39
2022 Quarter 2,Waterford,2271,116.37
2022 Quarter 2,Watertown,1523,68.97
2022 Quarter 2,West Hartford,666,10.4
2022 Quarter 2,West Haven,5613,101.07
2022 Quarter 2,Westbrook,2855,422.52
2022 Quarter 2,Weston,1445,139.48
2022 Quarter 2,Westport,3356,123.71
2022 Quarter 2,Wethersfield,1939,71.1
2022 Quarter 2,Willington,484,86.93
2022 Quarter 2,Wilton,2069,112.05
2022 Quarter 2,Winchester,898,87.82
2022 Quarter 2,Windham,1650,67.55
2022 Quarter 2,Windsor,1671,56.81
2022 Quarter 2,Windsor Locks,857,68.06
2022 Quarter 2,Wolcott,1271,78.86
2022 Quarter 2,Woodbridge,807,88.94
2022 Quarter 2,Woodbury,836,86.09
2022 Quarter 2,Woodstock,623,75.72
2022 Quarter 3,Andover,199,63.52
2022 Quarter 3,Ansonia,1276,67.82
2022 Quarter 3,Ashford,356,85.05
2022 Quarter 3,Avon,1675,88.87
2022 Quarter 3,Barkhamsted,289,79.24
2022 Quarter 3,Beacon Falls,478,79.23
2022 Quarter 3,Berlin,1216,60.46
2022 Quarter 3,Bethany,551,104.2
2022 Quarter 3,Bethel,1998,97.29
2022 Quarter 3,Bethlehem,253,74.72
2022 Quarter 3,Bloomfield,859,39.99
2022 Quarter 3,Bolton,347,72.01
2022 Quarter 3,Bozrah,265,109.64
2022 Quarter 3,Branford,2959,105.02
2022 Quarter 3,Bridgeport,4069,27.43
2022 Quarter 3,Bridgewater,131,79.01
2022 Quarter 3,Bristol,4517,74.46
2022 Quarter 3,Brookfield,1875,107.25
2022 Quarter 3,Brooklyn,726,85.53
2022 Quarter 3,Burlington,738,76.95
2022 Quarter 3,Canaan,254,235.62
2022 Quarter 3,Canterbury,421,83.2
2022 Quarter 3,Canton,844,83.71
2022 Quarter 3,Chaplin,184,85.86
2022 Quarter 3,Cheshire,2230,77.9
2022 Quarter 3,Chester,298,79.42
2022 Quarter 3,Clinton,1408,105.07
2022 Quarter 3,Colchester,1628,105.03
2022 Quarter 3,Colebrook,82,60.43
2022 Quarter 3,Columbia,534,101.79
2022 Quarter 3,Cornwall,113,71.93
2022 Quarter 3,Coventry,968,79.31
2022 Quarter 3,Cromwell,1212,84.74
2022 Quarter 3,Danbury,4934,56.87
2022 Quarter 3,Darien,2637,122.65
2022 Quarter 3,Deep River,485,108.7
2022 Quarter 3,Derby,902,73.49
2022 Quarter 3,Durham,535,73.99
2022 Quarter 3,East Granby,444,85.71
2022 Quarter 3,East Haddam,801,89.35
2022 Quarter 3,East Hampton,1112,86.38
2022 Quarter 3,East Hartford,1983,39.09
2022 Quarter 3,East Haven,2181,78.44
2022 Quarter 3,East Lyme,2074,110.03
2022 Quarter 3,East Windsor,245,21.95
2022 Quarter 3,Eastford,114,68.67
2022 Quarter 3,Easton,1093,143.93
2022 Quarter 3,Ellington,1021,61.4
2022 Quarter 3,Enfield,3057,72.73
2022 Quarter 3,Essex,494,73.09
2022 Quarter 3,Fairfield,6097,98.42
2022 Quarter 3,Farmington,1948,73.11
2022 Quarter 3,Franklin,162,87.0
2022 Quarter 3,Glastonbury,2915,83.16
2022 Quarter 3,Goshen,241,76.15
2022 Quarter 3,Granby,894,81.62
2022 Quarter 3,Greenwich,6648,104.67
2022 Quarter 3,Griswold,1349,118.26
2022 Quarter 3,Groton,2588,67.3
2022 Quarter 3,Guilford,2243,101.81
2022 Quarter 3,Haddam,731,85.71
2022 Quarter 3,Hamden,3262,53.54
2022 Quarter 3,Hampton,161,93.17
2022 Quarter 3,Hartford,3623,30.05
2022 Quarter 3,Hartland,135,71.39
2022 Quarter 3,Harwinton,396,71.9
2022 Quarter 3,Hebron,854,94.2
2022 Quarter 3,Kent,244,81.77
2022 Quarter 3,Killingly,1621,91.37
2022 Quarter 3,Killingworth,589,93.97
2022 Quarter 3,Lebanon,599,84.27
2022 Quarter 3,Ledyard,1649,107.52
2022 Quarter 3,Lisbon,316,75.27
2022 Quarter 3,Litchfield,694,84.94
2022 Quarter 3,Lyme,117,49.91
2022 Quarter 3,Madison,2147,121.86
2022 Quarter 3,Manchester,3915,65.88
2022 Quarter 3,Mansfield,970,36.8
2022 Quarter 3,Marlborough,580,95.19
2022 Quarter 3,Meriden,3951,65.29
2022 Quarter 3,Middlebury,742,96.56
2022 Quarter 3,Middlefield,387,90.55
2022 Quarter 3,Middletown,3347,71.05
2022 Quarter 3,Milford,4270,81.5
2022 Quarter 3,Monroe,1652,88.04
2022 Quarter 3,Montville,1930,104.45
2022 Quarter 3,Morris,138,61.09
2022 Quarter 3,Naugatuck,2213,70.4
2022 Quarter 3,New Britain,3427,46.41
2022 Quarter 3,New Canaan,2564,123.67
2022 Quarter 3,New Fairfield,1295,95.61
2022 Quarter 3,New Hartford,560,83.98
2022 Quarter 3,New Haven,6111,45.24
2022 Quarter 3,New London,2127,76.97
2022 Quarter 3,New Milford,2507,88.96
2022 Quarter 3,Newington,2159,71.1
2022 Quarter 3,Newtown,2790,101.37
2022 Quarter 3,Norfolk,111,69.94
2022 Quarter 3,North Branford,1288,95.42
2022 Quarter 3,North Canaan,20,6.28
2022 Quarter 3,North Haven,2205,91.23
2022 Quarter 3,North Stonington,479,93.25
2022 Quarter 3,Norwalk,5480,60.09
2022 Quarter 3,Norwich,3580,89.47
2022 Quarter 3,Old Lyme,845,111.52
2022 Quarter 3,Old Saybrook,1155,109.34
2022 Quarter 3,Orange,1053,73.92
2022 Quarter 3,Oxford,1084,84.9
2022 Quarter 3,Plainfield,1382,92.39
2022 Quarter 3,Plainville,1374,78.76
2022 Quarter 3,Plymouth,960,82.34
2022 Quarter 3,Pomfret,415,97.17
2022 Quarter 3,Portland,853,90.15
2022 Quarter 3,Preston,524,109.12
2022 Quarter 3,Prospect,760,81.34
2022 Quarter 3,Putnam,976,105.78
2022 Quarter 3,Redding,879,100.63
2022 Quarter 3,Ridgefield,2584,103.31
2022 Quarter 3,Rocky Hill,1335,64.35
2022 Quarter 3,Roxbury,164,72.28
2022 Quarter 3,Salem,397,94.52
2022 Quarter 3,Salisbury,276,67.12
2022 Quarter 3,Scotland,40,25.51
2022 Quarter 3,Seymour,1412,84.66
2022 Quarter 3,Sharon,182,68.04
2022 Quarter 3,Shelton,3058,73.73
2022 Quarter 3,Sherman,321,91.17
2022 Quarter 3,Simsbury,2294,92.47
2022 Quarter 3,Somers,721,70.14
2022 Quarter 3,South Windsor,1842,68.82
2022 Quarter 3,Southbury,1528,77.19
2022 Quarter 3,Southington,3288,75.59
2022 Quarter 3,Sprague,281,95.25
2022 Quarter 3,Stafford,920,80.62
2022 Quarter 3,Stamford,8186,60.05
2022 Quarter 3,Sterling,320,89.46
2022 Quarter 3,Stonington,2662,144.46
2022 Quarter 3,Stratford,3256,62.29
2022 Quarter 3,Suffield,1100,69.35
2022 Quarter 3,Thomaston,582,78.09
2022 Quarter 3,Thompson,629,68.18
2022 Quarter 3,Tolland,1086,74.84
2022 Quarter 3,Torrington,2923,82.67
2022 Quarter 3,Trumbull,3027,81.92
2022 Quarter 3,Union,28,35.85
2022 Quarter 3,Vernon,2217,73.11
2022 Quarter 3,Voluntown,244,95.54
2022 Quarter 3,Wallingford,3599,81.44
2022 Quarter 3,Warren,118,87.47
2022 Quarter 3,Washington,260,71.57
2022 Quarter 3,Waterbury,5040,44.28
2022 Quarter 3,Waterford,2303,117.78
2022 Quarter 3,Watertown,1541,69.7
2022 Quarter 3,West Hartford,5633,88.05
2022 Quarter 3,West Haven,2739,49.54
2022 Quarter 3,Westbrook,694,101.91
2022 Quarter 3,Weston,1488,143.96
2022 Quarter 3,Westport,3405,124.82
2022 Quarter 3,Wethersfield,1937,71.41
2022 Quarter 3,Willington,440,79.59
2022 Quarter 3,Wilton,1991,107.85
2022 Quarter 3,Winchester,887,86.82
2022 Quarter 3,Windham,1599,65.64
2022 Quarter 3,Windsor,1632,55.56
2022 Quarter 3,Windsor Locks,834,66.55
2022 Quarter 3,Wolcott,1304,80.69
2022 Quarter 3,Woodbridge,849,93.86
2022 Quarter 3,Woodbury,792,81.14
2022 Quarter 3,Woodstock,597,72.62
2022 Quarter 4,Andover,203,64.79
2022 Quarter 4,Ansonia,1359,72.23
2022 Quarter 4,Ashford,363,86.72
2022 Quarter 4,Avon,1680,89.13
2022 Quarter 4,Barkhamsted,267,73.21
2022 Quarter 4,Beacon Falls,516,85.53
2022 Quarter 4,Berlin,1423,70.75
2022 Quarter 4,Bethany,555,104.95
2022 Quarter 4,Bethel,2077,101.13
2022 Quarter 4,Bethlehem,243,71.77
2022 Quarter 4,Bloomfield,842,39.2
2022 Quarter 4,Bolton,311,64.54
2022 Quarter 4,Bozrah,251,103.85
2022 Quarter 4,Branford,2933,104.1
2022 Quarter 4,Bridgeport,4058,27.36
2022 Quarter 4,Bridgewater,153,92.28
2022 Quarter 4,Bristol,4499,74.17
2022 Quarter 4,Brookfield,1856,106.17
2022 Quarter 4,Brooklyn,720,84.83
2022 Quarter 4,Burlington,755,78.72
2022 Quarter 4,Canaan,263,243.97
2022 Quarter 4,Canterbury,422,83.4
2022 Quarter 4,Canton,878,87.08
2022 Quarter 4,Chaplin,192,89.59
2022 Quarter 4,Cheshire,2311,80.73
2022 Quarter 4,Chester,284,75.69
2022 Quarter 4,Clinton,1477,110.22
2022 Quarter 4,Colchester,1604,103.48
2022 Quarter 4,Colebrook,92,67.8
2022 Quarter 4,Columbia,512,97.6
2022 Quarter 4,Cornwall,121,77.02
2022 Quarter 4,Coventry,1067,87.42
2022 Quarter 4,Cromwell,1209,84.53
2022 Quarter 4,Danbury,5041,58.1
2022 Quarter 4,Darien,2655,123.49
2022 Quarter 4,Deep River,496,111.16
